Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/16/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.65550536,15.61574845,15.53842641,15.42882123,15.34800504,15.3578166,15.20490778,15.09044956,15.02707107,14.99231581,14.95564408,15.06195778,15.20136116,15.35322387,15.51301586,15.6859347,15.53422822,15.4026906,15.3164925,15.29997403,15.3669711,15.70325197,16.11402243,16.95932204,17.84825715,18.78620817,19.81767613,20.8970577,21.27219716,21.4470611,21.61868908
Angola,AGO,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.27220983,48.32309481,48.35353872,48.33671678,48.40423142,48.51721192,48.612769,48.71227471,48.81754198,48.92032869,49.02418502,49.09795851,49.19827101,49.27707639,49.37778419,49.48595087,49.56430127,49.65430932,49.73593129,49.78630418,49.84620479,49.86652018,49.91013291,49.95379286,50.00355699,50.05091396,50.09830855,50.15490459,50.21146771,50.25306367,50.29310895
Albania,ALB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.48294695,43.00798908,43.86110724,44.1848368,44.50581664,44.53217499,43.98199101,43.80383696,42.97600945,42.1472979,41.63843984,41.44124874,41.468607,41.64020529,41.84761653,42.03746428,42.21953492,42.36504779,42.47544421,41.60777011,42.4450508,42.40882036,42.38820171,41.25099284,40.62278736,41.5237887,41.44665944,41.42940566,41.46691026,41.4753376,41.47173385
Andorra,AND,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.69799524,19.73569717,19.75004389,19.83676361,20.10078601,20.04628868,20.06693565,19.97837593,19.97987033,20.35836762,20.48086743,20.58134046,20.26501354,20.46783391,20.55218445,20.59592417,20.68368569,20.99960676,20.61113879,20.69828479,20.61186233,20.59613236,20.73179555,20.93757209,20.98653955,20.98820296,21.14687642,20.74681275,20.71125075,20.717721,20.72957883
United Arab Emirates,ARE,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7905106,11.02414501,11.2026883,11.44591327,11.54669394,11.63575029,11.76352099,11.86544267,11.93654027,11.9790385,11.99282542,12.19528268,12.39853534,12.50354616,12.39295378,12.06699727,11.73077011,11.35969662,11.12829979,11.13996638,11.41378541,12.06850312,12.96493622,14.02984186,15.11825286,16.08939861,16.77099834,17.37342274,17.46849869,17.57838898,17.7107445
Argentina,ARG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.38519976,39.86867071,40.3303514,40.81169341,41.18691795,41.17601991,41.52410267,41.96489534,42.21490092,42.13006926,42.13507976,41.99141306,41.51001719,41.84634551,42.18623292,41.84533888,42.07202912,41.78153676,41.49770524,41.81921912,41.38395892,41.4441798,41.59960518,41.44184118,41.24536857,41.60916656,41.97850456,42.3421909,43.00354589,42.96271082,42.91703853
Armenia,ARM,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.33665976,43.59506455,43.94155477,44.35842346,44.81306968,45.27122611,45.64725881,45.98970672,46.29032179,46.54228917,46.74500977,46.76474682,46.73421895,46.67442592,46.61007487,46.56018459,46.50716843,46.48639094,46.47713395,46.52276206,45.78490546,47.09689585,47.17972556,47.24967839,47.11475052,46.89179824,46.12205081,46.21383144,46.18442429,46.16731809,46.13323344
American Samoa,ASM,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
