,date,value,catagory
0,1999-12-31,61.6,Approve
1,1999-12-31,17.6,No answer
2,1999-12-31,21.0,Disapprove
3,2000-12-31,70.25,Approve
4,2000-12-31,9.416666666666666,No answer
5,2000-12-31,20.583333333333332,Disapprove
6,2001-12-31,73.33333333333333,Approve
7,2001-12-31,6.666666666666667,No answer
8,2001-12-31,20.416666666666668,Disapprove
9,2002-12-31,4.666666666666667,No answer
10,2002-12-31,19.583333333333332,Disapprove
11,2002-12-31,75.91666666666667,Approve
12,2003-12-31,21.416666666666668,Disapprove
13,2003-12-31,76.08333333333333,Approve
14,2003-12-31,2.5,No answer
15,2004-12-31,23.5,Disapprove
16,2004-12-31,74.25,Approve
17,2004-12-31,2.1666666666666665,No answer
18,2005-12-31,28.5,Disapprove
19,2005-12-31,2.9166666666666665,No answer
20,2005-12-31,68.75,Approve
21,2006-12-31,1.6666666666666667,No answer
22,2006-12-31,75.91666666666667,Approve
23,2006-12-31,22.416666666666668,Disapprove
24,2007-12-31,1.1666666666666667,No answer
25,2007-12-31,81.75,Approve
26,2007-12-31,16.916666666666668,Disapprove
27,2008-12-31,2.5833333333333335,No answer
28,2008-12-31,84.0,Approve
29,2008-12-31,13.5,Disapprove
30,2009-12-31,2.4166666666666665,No answer
31,2009-12-31,79.41666666666667,Approve
32,2009-12-31,18.25,Disapprove
33,2010-12-31,1.9166666666666667,No answer
34,2010-12-31,19.916666666666668,Disapprove
35,2010-12-31,78.16666666666667,Approve
36,2011-12-31,29.666666666666668,Disapprove
37,2011-12-31,68.58333333333333,Approve
38,2011-12-31,1.8333333333333333,No answer
39,2012-12-31,33.0,Disapprove
40,2012-12-31,65.75,Approve
41,2012-12-31,1.3333333333333333,No answer
42,2013-12-31,63.5,Approve
43,2013-12-31,1.1666666666666667,No answer
44,2013-12-31,35.5,Disapprove
45,2014-12-31,1.1666666666666667,No answer
46,2014-12-31,17.5,Disapprove
47,2014-12-31,81.5,Approve
48,2015-12-31,1.0,No answer
49,2015-12-31,13.5,Disapprove
50,2015-12-31,85.75,Approve
51,2016-12-31,1.0,No answer
52,2016-12-31,82.33333333333333,Approve
53,2016-12-31,17.166666666666668,Disapprove
54,2017-12-31,82.41666666666667,Approve
55,2017-12-31,16.583333333333332,Disapprove
56,2017-12-31,1.0833333333333333,No answer
57,2018-12-31,72.63636363636364,Approve
58,2018-12-31,26.363636363636363,Disapprove
59,2018-12-31,1.1818181818181819,No answer
60,2019-12-31,66.75,Approve
61,2019-12-31,31.916666666666668,Disapprove
62,2019-12-31,1.1666666666666667,No answer
63,2020-12-31,64.18181818181819,Approve
64,2020-12-31,32.72727272727273,Disapprove
65,2020-12-31,3.1818181818181817,No answer
66,2021-12-31,64.0,Approve
67,2021-12-31,34.0,Disapprove
68,2021-12-31,2.0,No answer
